No.,Time,Source,Destination,Protocol,Length,Info
1081,8.336823,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=696117 Win=1603840 Len=0
1082,8.33781,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=696117 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1083,8.337834,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=697529 Win=1603840 Len=0
1084,8.34017,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=697529 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1085,8.34017,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=698941 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1086,8.340215,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=700353 Win=1603840 Len=0
1087,8.340453,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=700353 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1088,8.340453,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=701765 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1089,8.340502,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=703177 Win=1603840 Len=0
1090,8.341106,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=703177 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1091,8.341491,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=704589 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1092,8.341516,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=706001 Win=1603840 Len=0
1093,8.342178,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=706001 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1094,8.342178,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=707413 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1095,8.342193,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=708825 Win=1603840 Len=0
1096,8.34295,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=708825 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1097,8.343353,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=710237 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1098,8.343368,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=711649 Win=1603840 Len=0
1099,8.34384,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=711649 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1100,8.344514,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=713061 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1101,8.344533,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=714473 Win=1603840 Len=0
1102,8.344867,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=714473 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1103,8.345505,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=715885 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1104,8.34552,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=717297 Win=1603840 Len=0
1105,8.345958,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=717297 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1106,8.345958,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=718709 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1107,8.345972,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=720121 Win=1603840 Len=0
1108,8.346865,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=720121 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1109,8.346865,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=721533 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
