packet_length,inter_arrival_time,ttl,is_tcp,is_udp,is_icmp,src_port,dst_port,syn_flag,ack_flag,fin_flag,rst_flag,is_well_known_port
85,0.000147,128,1,0,0,58328,443,0,1,0,0,0
1514,0.004618,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,7.4e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.001964,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.3e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.005145,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,8.8e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.011338,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,0.000124,128,1,0,0,58328,443,0,1,0,0,0
1514,0.005487,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,7.7e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.001519,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.8e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.002985,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.7e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.001737,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.8e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.002319,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.6e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.000923,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.4e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.004105,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1350,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,0.000123,128,1,0,0,58328,443,0,1,0,0,0
127,1.089457,123,1,0,0,443,54288,0,1,0,0,0
80,0.002811,47,1,0,0,443,51559,0,1,0,0,0
84,0.000162,128,1,0,0,51559,443,0,1,0,0,0
54,0.046019,128,1,0,0,54288,443,0,1,0,0,0
54,0.293045,47,1,0,0,443,51559,0,1,0,0,0
60,0.962546,0,0,0,0,0,0,0,0,0,0,0
60,1.023773,0,0,0,0,0,0,0,0,0,0,0
55,0.756928,128,1,0,0,62644,443,0,1,0,0,0
84,0.062305,1,0,1,0,5353,5353,0,0,0,0,0
84,0.000328,1,0,1,0,5353,5353,0,0,0,0,0
359,0.000467,1,0,1,0,5353,5353,0,0,0,0,0
359,0.000178,1,0,1,0,5353,5353,0,0,0,0,0
119,0.204142,255,0,1,0,5353,5353,0,0,0,0,0
139,0.000294,0,0,1,0,5353,5353,0,0,0,0,0
60,0.000249,0,0,0,0,0,0,0,0,0,0,0
437,0.000339,255,0,1,0,5353,5353,0,0,0,0,0
457,0.000954,0,0,1,0,5353,5353,0,0,0,0,0
94,0.969262,128,0,1,0,63387,53,0,0,0,0,0
94,0.031239,128,0,1,0,63387,53,0,0,0,0,0
126,0.025548,57,0,1,0,53,63387,0,0,0,0,0
126,0.005181,122,0,1,0,53,63387,0,0,0,0,0
110,0.616486,123,1,0,0,443,54288,0,1,0,0,0
54,0.0,123,1,0,0,443,54288,0,1,1,0,0
54,7.6e-05,128,1,0,0,54288,443,0,1,0,0,0
90,0.603137,0,0,0,0,0,0,0,0,0,0,0
71,0.77941,128,0,1,0,56461,443,0,0,0,0,0
67,0.051558,60,0,1,0,443,56461,0,0,0,0,0
90,0.090366,0,0,0,0,0,0,0,0,0,0,0
718,2.356022,0,0,1,0,61387,3702,0,0,0,0,0
698,0.000882,1,0,1,0,61386,3702,0,0,0,0,0
718,0.008887,0,0,1,0,61387,3702,0,0,0,0,0
698,0.000107,1,0,1,0,61386,3702,0,0,0,0,0
718,0.092452,0,0,1,0,61387,3702,0,0,0,0,0
698,0.001104,1,0,1,0,61386,3702,0,0,0,0,0
698,0.000949,1,0,1,0,61386,3702,0,0,0,0,0
718,0.10067,0,0,1,0,61387,3702,0,0,0,0,0
718,0.102681,0,0,1,0,61387,3702,0,0,0,0,0
698,0.102136,1,0,1,0,61386,3702,0,0,0,0,0
